"var_names","is_consequence","group","group_color","var_type"
"NDUFB1P1",0,"TF","F0C69C",1
"NDUFB2",1,"Other","A9EBA9",1
"NDUFB3",1,"Other","A9EBA9",1
"NDUFB4",1,"Other","A9EBA9",1
"NDUFB6",1,"Other","A9EBA9",1
"NDUFB7",0,"TF","F0C69C",1
"NDUFB8P2",0,"TF","F0C69C",1
"NDUFC1",1,"Other","A9EBA9",1
"NDUFS3",1,"Other","A9EBA9",1
"NDUFS5",1,"Other","A9EBA9",1
"NDUFS5P3",1,"Other","A9EBA9",1
"NDUFS6",1,"Other","A9EBA9",1
"NDUFS7",1,"Other","A9EBA9",1
"NDUFS8",1,"Other","A9EBA9",1
"NEDD8P1",1,"Other","A9EBA9",1
"NENF",1,"Other","A9EBA9",1
"NETO2",1,"Other","A9EBA9",1
"NEUROG3",1,"Other","A9EBA9",1
"NFIB",1,"Other","A9EBA9",1
"NHP2",1,"Other","A9EBA9",1
"NINJ1",1,"Other","A9EBA9",1
"NKD2",1,"Other","A9EBA9",1
"NKG7",0,"TF","F0C69C",1
"NME2",1,"Other","A9EBA9",1
"NME2P1",1,"Other","A9EBA9",1
"NME4",1,"Other","A9EBA9",1
"NOG",1,"Other","A9EBA9",1
"NOL4L",1,"Other","A9EBA9",1
"NOLC1",1,"Other","A9EBA9",1
"NOP10",1,"Other","A9EBA9",1
"NPM1P12",1,"Other","A9EBA9",1
"NPM1P27",1,"Other","A9EBA9",1
"NPM3",1,"Other","A9EBA9",1
"NRIP1",1,"Other","A9EBA9",1
"NSMCE1",1,"Other","A9EBA9",1
"NT5DC2",1,"Other","A9EBA9",1
"NTHL1",1,"Other","A9EBA9",1
"NTMT1",1,"Other","A9EBA9",1
"NTRK1",1,"Other","A9EBA9",1
"NUCB2",1,"Other","A9EBA9",1
"NUFIP2",1,"Other","A9EBA9",1
"NUP214",1,"Other","A9EBA9",1
"NUP93",1,"Other","A9EBA9",1
"NUTM2B-AS1",1,"Other","A9EBA9",1
"OAZ1",1,"Other","A9EBA9",1
"OCIAD2",1,"Other","A9EBA9",1
"OSBPL1A",1,"Other","A9EBA9",1
"OST4",0,"TF","F0C69C",1
