"","family","T1","avg_dT2","avg_dT3","predicted.celltype","Colony_size","exp","distance"
"AC004947.1",0,0,0,0,0,0,0,0
"AC004947.3",0,0,0,0,0,0,0,0
"AC004951.1",0,0,0,0,0.0444,0,0,0
"AC004951.2",0,0,0,0,0,0,0,0
"AC004951.3",0,0,0,0,0,0,0,0
"AC004951.4",0,0,0,0,0,0,0,0
"AC004967.1",0,0,0,0,0,0,0.007546,0
"AC004967.2",0,0,0,0,0,0,0,0
"AC004975.1",0,0,0,0,0,0,0,0
"AC004980.1",0,0,0,0,0.00257,0,0,0
"AC004980.3",0,0,0,0,0,0,0,0
"AC004986.1",0,0,0,0,0,0,0,0
"AC004987.1",0,0,0,0,0,0,0,0
"AC004988.1",0,0,0,0,0,0,0,0
"AC005000.1",0,0,0,0,0,0,0.004397,0
"AC005002.1",0,0,0,0,0,0,0,0
"AC005005.3",0,0,0,0,0,0,0,0
"AC005005.4",0,0,0,0,0.00407,0,0.006338,0
"AC005011.1",0,0,0,0,0,0,0,0
"AC005013.1",0,0,0,0,0,0,0,0
"AC005014.1",0,0,0,0,0,0,0,0
"AC005014.3",0,0,0,0,0,0,0,0
"AC005014.4",0,0,0,0,0,0,0,0
"AC005019.1",0,0,0,0,0,0,0.00499,0
"AC005020.1",0,0,0,0,0,0,0,0
"AC005021.1",0,0,0,0,0,0,0,0
"AC005034.3",0,0,0,0,0,0,0,0
"AC005034.4",0,0,0,0,0,0,0,0
"AC005034.6",0,0,0,0,0,0.008203,0.009097,0
"AC005034.7",0,0,0,0,0,0,0,0
"AC005037.1",0,0,0,0,0,0,0,0
"AC005037.2",0,0,0,0,0,0,0,0
"AC005041.1",0,0,0,0,0.016474,0,0,0
"AC005041.3",0,0,0,0,0,0,0,0
"AC005041.5",0,0,0,0,0,0,0,0
"AC005046.2",0,0,0,0,0,0,0,0
"AC005052.1",0,0,0,0,0,0,0,0
"AC005052.2",0,0,0,0,0,0,0.001795,0
"AC005062.1",0,0,0,0,0,0,0,0
"AC005070.1",0,0,0,0,0,0,0,0
"AC005070.2",0,0,0,0,0,0,0,0
"AC005070.3",0,0,0,0,0.000822,0,0,0
"AC005071.1",0,0,0,0,0,0,0,0
"AC005071.2",0,0,0,0,0,0,0,0
"AC005072.1",0,0,0,0,0.02445,0,0,0
"AC005076.2",0,0,0,0,0,0,0,0
"AC005076.3",0,0,0,0,0,0,0,0
"AC005081.1",0,0,0,0,0,0,0,0
"AC005082.1",0,0,0,0,0,3.5e-05,0,0
"AC005082.2",0,0,0,0,0,0,0,0
"AC005083.1",0,0,0,0,0,0,0,0
"AC005084.1",0,0,0,0,0,0,0,0
"AC005086.2",0,0,0,0,0,0.004572,0,0
"AC005086.3",0,0,0.000788,0,0,0,0,0
"AC005086.4",0,0,0,0.020991,0,0.014492,0,0
"AC005086.5",0,0,0,0,0,0,0,0
"AC005089.1",0,0,0,0,0,0,0,0
"AC005091.1",0,0,0,0,0,0,0,0
"AC005096.1",0,0,0,0,0,0,0,0
"AC005099.1",0,0,0,0,0,0,0,0
"AC005102.1",0,0,0,0,0,0,0,0
"AC005104.1",0,0,0,0,0,0,0,0
"AC005153.1",0,0,0,0,0,0,0,0
"AC005154.1",0,0,0,0,0,0,0.001914,0
"AC005154.2",0,0,0,0,0,0,0.000675,0
"AC005154.4",0,0.021859,0,0.031542,0,0,6.2e-05,0.017869
"AC005162.2",0,0,0,0,0,0,0,0
"AC005165.1",0,0,0,0,0,0,0,0
"AC005165.2",0,0,0,0,0,0,0,0
"AC005165.3",0,0,0,0,0,0,0,0
"AC005176.1",0,0,0,0,0,0,0,0
"AC005183.1",0,0,0,0,0,0,0,0
"AC005189.1",0,0,0,0,0,0,0,0
"AC005197.1",0,0,0,0,0,0,0.002611,0
"AC005224.1",0,0,0,0,0,0,0,0
"AC005224.2",0,0,0.007965,0,0,0,0.015585,0
"AC005224.3",0,0,0,0.017079,0,0.00316,0,0
"AC005225.1",0,0,0,0,0,0,0,0
"AC005225.2",0,0,0,0,0,0,0,0
"AC005225.4",0,0,0,0,0,0,0,0
"AC005229.1",0,0,0,0,0,0,0,0
"AC005229.4",0,0,0,0,0,0,0,0
"AC005230.1",0,0,0,0,0.006715,0,0,0
"AC005232.1",0,0,0,0,0,0,0,0
"AC005244.1",0,0,0,0,0,0,0,0
"AC005252.4",0,0,0,0,0,0,0,0
"AC005253.1",0,0,0,0,0,0,0,0
"AC005261.1",0.000565,0,0,0,0.002055,0.002098,0.012719,0
"AC005261.2",0,0,0,0,0,0,0,0
"AC005261.5",0,0,0,0,0.014773,0,0,0
"AC005262.1",0,0,0,0,0,0,0,0
"AC005264.1",0,0,0,0,0,0,0,0
"AC005277.2",0,0,0,0,0,0,0,0
"AC005280.1",0,0,0,0,0,0,0,0
"AC005300.1",0,0,0,0,0,0,0.005218,0
"AC005304.1",0,0,0,0,0,0,0,0
"AC005304.2",0,0,0,0,0,0,0,0
"AC005304.3",0,0,0,0,0,0,0,0
"AC005307.1",0,0,0,0,0,0,0,0
"AC005323.1",0,0,0,0,0,0,0,0
"AC005324.3",0,0,0,0,0,0,0,0
"AC005324.5",0,0,0,0,0,0,0,0
"AC005329.1",0,0,0,0,0,0,0,0
"AC005329.3",0,0,0,0,0.035558,0,0,0
"AC005330.1",0,0,0,0,0,0.009282,0,0
"AC005332.1",0,0,0,0,0,0,0,0
"AC005332.2",0,0,0,0,0,0,0,0
"AC005332.3",0,0,0,0,0,0,0.003053,0
"AC005332.4",0,0,0,0,0,0,0,0
"AC005332.5",0,0,0,0,0,0,0,0
"AC005332.6",0,0,0,0,0,0,0,0
"AC005336.1",0,0,0,0,0,0,0,0
"AC005343.1",0,0,0,0,0,0,0,0
"AC005351.1",0,0,0,0,0,0,0,0
"AC005357.2",0,0,0,0,0,0,0,0
"AC005379.1",0,0,0,0,0,0,0,0
"AC005387.1",0,0,0,0,0,0,0,0
"AC005389.1",0,0,0,0,0,0,0,0
"AC005391.1",0,0,0.011462,0,0,0,0,0
"AC005392.2",0,0,0,0,0,0,0,0
"AC005393.1",0,0,0,0,0,0,0,0
"AC005400.1",0,0,0,0,0,0,0,0
"AC005410.1",0,0,0,0,0,0,0,0
"AC005476.2",0,0,0,0,0,0,0,0
"AC005479.1",0,0,0,0,0,0,0,0
"AC005480.1",0,0,0,0,0,0,0,0
"AC005480.2",0,0,0,0,0,0,0,0
"AC005495.1",0,0,0,0,0,0,0,0
"AC005498.1",0,0,0,0,0,0,0,0
"AC005498.2",0,0,0,0,0,0.003699,0,0
"AC005498.3",0,0,0,0,0,0,0,0
"AC005514.1",0,0,0,0,0,0,0,0
"AC005519.1",0,0,0,0,0,0.004123,0,0
"AC005520.4",0,0,0,0,0,0,0,0
"AC005520.5",0,0,0,0,0,0,0,0
"AC005520.6",0,0,0,0,0,0,0,0
"AC005520.7",0,0,0,0,0,0,0,0
"AC005521.1",0,0,0,0,0,0,0.004117,0
"AC005522.1",0,0,0,0,0,0,0,0
"AC005529.1",0,0,0,0,0,0,0,0
"AC005532.1",0,0,0,0,0,0,0,0
"AC005532.2",0,0,0,0,0,0,0,0
"AC005534.1",0,0,0,0,0,0,0,0
"AC005534.2",0.001247,0,0,0,0,0,0,0
"AC005540.1",0,0,0,0,0,0,0,0
"AC005546.1",0,0,0,0,0,0,0,0
"AC005562.1",0,0,0,0.008843,0,0.006986,0,0
"AC005586.1",0,0,0,0,0,0,0,0
"AC005586.2",0,0,0,0,0,0,0,0
"AC005587.1",0,0,0,0,0,0,0,0
"AC005592.2",0,0,0,0,0,0.022531,0,0.044601
"AC005593.1",0,0,0,0,0,0,0,0
"AC005594.1",0,0,0,0,0,0,0,0
"AC005599.1",0,0,0,0,0,0,0,0
"AC005606.2",0,0,0,0,0,0,0.000471,0
"AC005614.1",0,0,0,0,0,0,0,0
"AC005614.2",0,0,0,0,0,0,0,0
"AC005618.4",0,0,0,0,0,0,0,0
"AC005632.3",0,0,0,0,0,0,0,0
"AC005632.6",0,0,0,0,0,0,0,0
"AC005670.1",0,0,0,0,0,0,0,0
"AC005670.3",0,0,0.008352,0,0.001953,0,0.000328,0
"AC005674.1",0,0,0,0,0,0,0,0
"AC005674.2",0,0,0,0,0,0,0,0
"AC005682.1",0,0.018074,0,0,0,0.014119,0,0.002039
"AC005682.2",0,0,0,0,0,0,0,0
"AC005695.1",0,0,0,0,0,0,0,0
"AC005695.2",0,0,0,0,0,0,0,0
"AC005696.1",0,0,0,0,0,0,0,0
"AC005696.3",0,0,0,0,0,0,0,0
"AC005696.4",0,0,0,0,0,0,0,0
"AC005697.2",0,0,0,0,0,0,0,0
"AC005702.2",0,0,0,0.009994,0,0,0,0
"AC005702.5",0,0,0,0,0,0,0.004117,0
"AC005703.6",0,0,0,0,0,0,0,0
"AC005722.2",0,0,0.007478,0,0,0,0,0
"AC005726.1",0,0,0,0,0,0,0.004117,0
"AC005726.2",0,0,0,0,0,0,0,0
"AC005730.3",0,0,0,0,0,0,0,0
"AC005736.1",0,0,0,0,0,0.009282,0,0
"AC005740.1",0,0,0,0,0,0,0,0
"AC005740.3",0,0,0,0,0,0,0,0
"AC005740.4",0,0,0,0,0,0,0,0
"AC005740.5",0,0,0,0,0,0,0,0
"AC005746.3",0,0,0,0,0,0,0,0
"AC005757.1",0,0,0,0,0,0,0,0
"AC005759.1",0,0,0,0,0,0,0,0
"AC005775.1",0,0,0,0,0,0,0,0
"AC005776.1",0,0,0,0,0,0,0,0
"AC005776.2",0,0,0,0,0.014847,0,0,0
"AC005785.1",0,0,0,0,0,0,0,0
"AC005785.2",0,0,0,0,0,0,0.027876,0
"AC005786.1",0,0,0,0,0.017078,0,0,0
"AC005786.2",0,0,0,0,0,0,0,0
"AC005786.4",0,0,0,0,0,0,0,0
"AC005796.1",0,0,0,0,0,0.003699,0,0
"AC005803.1",0,0,0,0,0.012471,0,0.00579,0
"AC005822.1",0,0,0,0,0,0,0,0
"AC005828.2",0,0,0,0,0,0,0,0
"AC005828.4",0,0,0,0,0,0,0,0
"AC005828.6",0,0,0,0,0,0,0,0
"AC005828.7",0,0,0,0,0,0,0,0
"AC005831.1",0,0,0,0,0,0,0.019418,0
"AC005832.3",0,0,0,0,0,0,0,0
"AC005833.2",0,0,0,0,0,0,0,0
"AC005837.1",0,0,0,0,0,0,0,0
"AC005837.3",0,0,0,0,0,0,0,0
"AC005838.3",0,0,0,0,0,0,0.007874,0
"AC005839.1",0,0,0,0,0,0,0,0
"AC005840.1",0,0,0,0,0,0,0.048846,0.075549
"AC005840.2",0,0.035258,0,0,0,0,0,0
"AC005840.4",0,0,0,0,0,0,0,0
"AC005856.1",0,0,0,0,0,0,0,0
"AC005863.1",0,0,0,0,0,0,0,0
"AC005899.2",0,0,0,0,0,0,0,0
"AC005899.7",0,0,0,0,0.006909,0,0,0
"AC005899.9",0,0,0,0,0,0,0,0
"AC005911.1",0,0,0,0,0,0,0,0
"AC005912.1",0.262876,0,0.148511,0.131574,0.080232,0,0.278899,0.13507
"AC005921.4",0,0,0,0,0,0,0,0.008297
"AC005954.1",0,0,0,0,0.00181,0,0,0
"AC005954.2",0,0,0.004156,0,0,0,0,0
