"var_names","is_consequence","group","group_color"
"PTAFR",1,"Other","A9EBA9"
"PTGER3",1,"Other","A9EBA9"
"PTGS1",1,"Other","A9EBA9"
"PTMAP2",1,"Other","A9EBA9"
"PTTG1",1,"Other","A9EBA9"
"PTTG2",1,"Other","A9EBA9"
"PXK",1,"Other","A9EBA9"
"RAB27A",1,"Other","A9EBA9"
"RAB27B",1,"Other","A9EBA9"
"RAB31",1,"Other","A9EBA9"
"RAB32",1,"Other","A9EBA9"
"RAB44",1,"Other","A9EBA9"
"RAB5IF",1,"Other","A9EBA9"
"RAB6B",1,"Other","A9EBA9"
"RAB7B",1,"Other","A9EBA9"
"RAN",1,"Other","A9EBA9"
"RBIS",1,"Other","A9EBA9"
"RBM25",1,"Other","A9EBA9"
"RECQL4",1,"Other","A9EBA9"
"REEP4",1,"Other","A9EBA9"
"RFX8",1,"Other","A9EBA9"
"RFXANK",1,"Other","A9EBA9"
"RHAG",1,"Other","A9EBA9"
"RHEX",0,"TF","F0C69C"
"RHOQ",1,"Other","A9EBA9"
"RIPOR3",0,"TF","F0C69C"
"RMRP",1,"Other","A9EBA9"
"RNASE2",0,"TF","F0C69C"
"RNASE3",0,"TF","F0C69C"
"RND2",1,"Other","A9EBA9"
"RNF181",1,"Other","A9EBA9"
"RNY3P8",1,"Other","A9EBA9"
"ROCK1",1,"Other","A9EBA9"
"ROMO1",1,"Other","A9EBA9"
"RPA3",1,"Other","A9EBA9"
"RUVBL2",1,"Other","A9EBA9"
"S100A11",1,"Other","A9EBA9"
"S100A4",1,"Other","A9EBA9"
"S100A6",0,"TF","F0C69C"
"S100Z",1,"Other","A9EBA9"
"SAP18",1,"Other","A9EBA9"
"SBF2",1,"Other","A9EBA9"
"SCAF1",1,"Other","A9EBA9"
"SDHB",1,"Other","A9EBA9"
"SDHC",1,"Other","A9EBA9"
"SEC61G",1,"Other","A9EBA9"
"SELENOH",1,"Other","A9EBA9"
"SEMA7A",1,"Other","A9EBA9"
"SERF2",1,"Other","A9EBA9"
"SERPINB1",1,"Other","A9EBA9"
"SERPINB10",1,"Other","A9EBA9"
"SERPINE2",1,"Other","A9EBA9"
"SF3A1",1,"Other","A9EBA9"
"SF3B5",1,"Other","A9EBA9"
"SGTA",1,"Other","A9EBA9"
"SH3BGRL3",1,"Other","A9EBA9"
"SH3GL1",1,"Other","A9EBA9"
"SH3TC1",1,"Other","A9EBA9"
"SIGLEC10",1,"Other","A9EBA9"
"SIGLEC14",1,"Other","A9EBA9"
"SIRPB2",1,"Other","A9EBA9"
"SIVA1",1,"Other","A9EBA9"
"SLC16A7",1,"Other","A9EBA9"
"SLC22A4",1,"Other","A9EBA9"
"SLC27A5",1,"Other","A9EBA9"
"SLC2A5",1,"Other","A9EBA9"
"SLC36A4",1,"Other","A9EBA9"
"SLC40A1",0,"TF","F0C69C"
"SLC44A2",1,"Other","A9EBA9"
"SLCO4C1",1,"Other","A9EBA9"
"SLIRP",1,"Other","A9EBA9"
"SLK",1,"Other","A9EBA9"
"SMIM1",1,"Other","A9EBA9"
"SMIM24",1,"Other","A9EBA9"
"SMIM3",1,"Other","A9EBA9"
"SMIM4",1,"Other","A9EBA9"
"SNF8",1,"Other","A9EBA9"
"SNHG25",0,"TF","F0C69C"
"SNHG6",1,"Other","A9EBA9"
"SNHG9",1,"Other","A9EBA9"
"SNRPC",1,"Other","A9EBA9"
"SNRPD2",1,"Other","A9EBA9"
"SNRPF",1,"Other","A9EBA9"
"SNRPG",1,"Other","A9EBA9"
"SNRPGP2",1,"Other","A9EBA9"
"SORBS1",1,"Other","A9EBA9"
"SPATA20",1,"Other","A9EBA9"
"SPINK2",1,"Other","A9EBA9"
"SPNS2",1,"Other","A9EBA9"
"SPNS3",1,"Other","A9EBA9"
"SPON2",1,"Other","A9EBA9"
"SPTA1",1,"Other","A9EBA9"
"SPTAN1",1,"Other","A9EBA9"
"SQOR",1,"Other","A9EBA9"
"SREK1",1,"Other","A9EBA9"
"SRGN",0,"TF","F0C69C"
"SRSF9",1,"Other","A9EBA9"
"ST3GAL3",1,"Other","A9EBA9"
"ST8SIA6",0,"TF","F0C69C"
"ST8SIA6-AS1",1,"Other","A9EBA9"
"STAB1",1,"Other","A9EBA9"
"STAM",1,"Other","A9EBA9"
"STMP1",1,"Other","A9EBA9"
"STON2",0,"TF","F0C69C"
